text,label
"RT @92mhq6QNslesNLP: कल मतदान जरूर करे....!!!

चाहे BJP को करो 

चाहे मोदी जी को करो

चाहे कमल को करो 

पर मतदान जरूर करे।😂😂

#JitegaModiJi…",none
@aroraups Logg Sharafat Mein Aksar Dhokha Khaa Jaate Hain 😆😆😆,none
@upasanatigress तू किसी काम की नहीं है दूसरे देश में जाकर बोझ बनने से बढ़िया है किसी गंदे नाले में डूब मर।,offensive
@ArvindKejriwal बूथ खाली पड़े हैं।आप के बूथ मेनेजर नदारद हैं।,none
"@Rupendr60418689 @deepak_hariom एक बुद्धिमान माँ अपनी सन्तान से प्रेम अवश्य करती है, परन्तु उसे योग्य बनाने के लिए उसके प्रति कठोर बनने में कोताही नहीं करती
#HappyMothersDay
https://t.co/xueGYitWx7",none
"RT @_m_rohit: हूं मै बेइंतहां हूं आज भी हू ब हू हूं
अब भी रगो मे दोडता मै वही खूं हूं

बिखरते सिसकते से कुछ अरमां कोई
हां हूं मै अभी जिंदा…",none
"RT @mogemboz: इतना फेंकता है कि 
आराम नहीं करता !
सुना है बादलों में रडार 
काम नहीं करता !!",none
@msisodia Agar offer diya hai to le lo bhaiyon. Baad main chavanni bhi nahin milegi,none
"@GovindaPanditU1 @qWW1YjMppqfqvuX @Sonabhadauria1 @reenasinghgaur @mksbsli08 @sitaram74378829 @shashibhaya1 @OppressedHindu @dhritrastra @ckpearloflife @imrawool @Nirmal111 @bmcowl9 @Ramsharma9981 @JayGopalMishra2 @pipcrd @Ajeet_Tyagi_Ji @bhawanablog @pmmh2015 @neerajtyagimbd @sankrant मैं तो कब से इसका पता पुछ रही हुं, डर से ये लतखोर अपना पता बताता ही नही।",profanity
"RT @aajtak: ट्विटर पर बीजेपी के हैं दुनिया भर में सबसे ज्यादा फॉलोअर

https://t.co/3OiFUA31w2",none
RT @delhichatter: ये वीडियो देख कर सारे कॉमेडियन अपनी लाइन चेंज करने पर मजबूर हो सकते हैं 🤣 https://t.co/j5flUFC38q,none
@Sunitkrsrivasta @RubikaLiyaquat क्या बात है इतनी गर्मी में इससे बेहतर कुछ नही हो सकता ।।,none
"RT @RamPD78: अगर ये इंटरव्यू नहीं देखा तो कुछ नहीं देखा 

इस बहादुर बालिका के YT चेनल का पता हो तो जरुर बताना दोस्तों https://t.co/DbOOzqrq…",none
"@ajitanjum @abhisar_sharma @ppbajpai @ravishndtv @Ra_THORe @narendramodi 
आप सभी सज्जन देखिए कि रेलवे एवं वर्तमान केन्द्रीय-सरकार कैसे भारतीय जनता जो रेल से यात्रा करती है यहीं रेलवे कैसे यात्रियों के अच्छे दिनों का झूठा दावा कर रही है?
यह आप सभी को ध्यान से देखना चाहिए?",none
@BBCHindi इसे कहते हैं खतरो का खिलाड़ी।,none
"RT @myogiadityanath: तस्वीरें सच बोलती हैं।
आज आदरणीय @narendramodi जी की पूर्वांचल रैली में वृद्ध महिलाएं, कर्मशील युवा और मुस्कुराते बच्…",none
@BBCHindi ये तो सही नही हो सकता,none
"RT @DDNewsHindi: #NewsFlash: मुख्य चुनाव आयुक्त सुनील अरोड़ा ने दिल्ली के निर्माण भवन स्थित मतदान केंद्र में अपना मतदान किया  
#Phase6
#Mak…",none
@AkhileshPSingh प्रधान मंत्री जी की यही बातें अच्छी लगती है जो मुंह मे आए बोल दो अन्ध भक्त है ना सब सम्भाल लेंगे।अच्छा हुआ कि ये नहीं कहा कि पायलट कि जगह मै ही गया था पाकिस्तान प्लेन लेकर हमला करने।।।,offensive
@TheAzharSabri नही रविश कुमार,none
"RT @Ajay27_INC: चौकीदार पहले से धोखेबाज है 
जिसने सत्ता हासिल करने के लिए #UPA के समय घोटालों का गेम प्लान किया..
और जनता को गुमराह किया..…",offensive
मोदी के 'रेडार ज्ञान' का कांग्रेस सोशल मीडिया हेड ने उड़ाया मजाक https://t.co/MlVwUZz1b0,none
@kamleshtiwari03 कमलेश जी इन सुरो से दोगली कोम दुनिया भर में कोई नहीं इन सालो सारी आजादी हिन्दुस्तान में ही चाहिए अमेरिका में नंगे होंगे चीन में सुअर का मांस खाने को मजबूर लंका में इनकी लंका ही कर डाली म्यामांर में इनकी माँ बहन एक करदी आजादी हिन्दुस्तान में ही चाहिए,hateful
"RT @tiwari_ashish1: भैया इस बूथ पर 400% मतदान होगा। 

बस दिक्कत ये है इन सब को पॉपुलर करने के चक्कर में मैं जेल न चला जाऊ😭😭😭😭😍😍😍😍😘😘😘😘😘😘 htt…",none
"तुझ पर कुछ लिखूं
इतनी मेरी औकात कहां

तूने ही तो लिखना सिखाया है माँ 👩
तू ही घर मेरा, तू ही जहां l
😍😍😘😘😘😘😘😘",none
"भाई, सड़ जी अब नहीं जीतेंगे। 🤣🤣
स्वयं ही देख लो सड़ जी अब कितनी सीटों पे चुनाव लड़ रहे हैं ,और पिछली बार कितनी पे लड़े थे।
भाई , तुम बहुत भोले हो।
23 मई को ऐसे ट्वीट डिलीट कर देना।😝",none
RT @Hema_quotes: इसकी ग़रीबी देखकर आँखें नम हो जाती हैं! 😢 https://t.co/v0T8IpFhxQ,none
"RT @hema_yadav14: हर रिश्ते में मिलावट देखी,कच्चे रंगों की सजावट देखी, लेकिन सालों-साल देखा है माँ को,
उसके चेहरे पे ना कभी थकावट देखी, ना…",none
"RT @jhaprabhatbjp: JNU में जिस नौजवान ने ये कहा था, भारत तेरे टुकड़े होंगे,जिस पर देशद्रोह का मुक़दमा चल रहा है और वो जेल में रहे, दिग्विजय…",none
Kolhapur and Dwaraka,none
लेकिन उन गरीब नौजवानो का क्या होगा जो 2013-14 में CTET QUALIFIED करने के बाद OVR AGD होगए उनको इन 5 सालों में KVS के RECRUITMENT मे एक मौका क्यु नहीं दिया गया? क्या GENERAL पुरुष 30 साल के बाद प्राथमिक शिक्षक बनने के लिए उपयुक्त नहीं है? क्या यही 1 भारत श्रेष्ठ भारत है?,none
RT @Nikhil58690778: @tiwari_ashish1 @NationFirst0010 दो पिज़्ज़ा के बीच में सुखी रोटी। क्या बोलूं यार।... कोई अब ज़हर दे दे मुझे।,none
"@Swadesh03032906 Ok you win👍
जो ट्वीट किए वो डिलीट कर रहा हूं 
आपने भाई कहां इसलिए
मेरे हिसाब से भाई बहन की लड़ाई में बहन ही जितनी चाहिए",none
@narendramodi हिम्मत तो बस आम के खेत जाने वाले में है ।हमारे यहाँ तो आम के बाग होते हैं ।और इन हिम्मत के पहलवान को जनता और लोगों के बीच में कभी नहीं देखा ।इतनी हिम्मत है पहलवान में कि अपने देश की जनता के बीच नहीं जा सकते ।,none
"क्या आईना और क्या इंसान,

कद्र नहीं रहती टूटने के बाद।
😏🙄🙄😏",none
"RT @SurajDa62004341: #वेद_मेरा_भेद_है
🔸परमात्मा सहशरीर है उस का नाम कबीर है वह धू-लोक के तीसरे पृष्ठ मे विराजमान है l
हीरे-जवाहरात से जडा प…",none
"RT @ratanjha101: जिस आदमी को गाँधी के तीन बंदरों की कहानी भी लिखकर लानी पड़ती है
भाषण के बिंदु कैपिटल अक्षरों में लिखकर लाने पड़ते हैं
125…",offensive
"RT @dpksharmaa: @SheilaDikshit @ArvindKejriwal बड़ी अम्मा आप इस चुतियानंदन केजरीवाल के बारे में मत सोचो 
अब दिल्ली समझ गयी है इस नक्सली को",profanity
RT @abhisar_sharma: अब हम करें तो करें क्या ? बोलें तो बोलें क्या ? https://t.co/YkDMOL7T3c,none
"@BJP4Rajasthan कांग्रेस सरकार को ये पता नही है की पैसा कहा से आयेगा ओर ये गरीब लोगो को 72,000 मुफ्त रुपय देने का वादा कर रही है 
ये सब झूट है।
कांग्रेस सरकार चोर है ।",offensive
RT @MLArajeshSP: सुदूर ब्रह्मांड मे नये नये तारो और ग्रहों की खोज कर रहे वैज्ञानिको को ये भी चिंता सताने लगी है कि पृथ्वी के रेडियो सिग्नल…,none
"@desh_bhkt मुझे कुछ मिले न मिले,गम नहीं,

मोदी जी के हाथों में देश की बागडोर किसी खजाने से कम नही, https://t.co/dT18ZKjhcy",none
"RT @INCMP: कुछ तो शर्म करो :

- जीएसटी और नोटबंदी से धंधा चौपट करने वालों 
- किसानों के साथ धोखा करने वालों
- जनता के टैक्स का पैसा विज्ञाप…",hateful
"RT @IMinakshiJoshi: ""20-25 साल बाद जब मेरा शरीर कमज़ोर हो जाएगा तब मैं किराए का कमरा खोजूँगा ।""
@narendramodi 
क्या देवरिया से मोदी का संके…",none
@RSFBLB 🤣🤣🤣🤣🤣🤣 पप्पू पेलू के चमचे 🤣,offensive
"RT @SureshChavhanke: टीपू सुल्तान के भक्त @RahulGandhi के वोट की जगह भी ""औरंगजेब लेन"".. है !",none
"RT @SurekhaInsan: बच्चों को अपने माँ बाप की निंदा नहीं करनी चाहिए ,ऐसा करते हो तो उससे बड़ा पाप और कोई नहीं हो सकता।
अगर उनकी किसी बात से ह…",none
@KarunaShukla10 इनके पिता जी शायद कसाब की अफ़जल जैसे आतंकवादीयो का केश लड़ रहा था उनको बचाने के लिये,none
@BeingvickyyZ आई को मेरी ओर से #HappyMothersDay बोलना पगलु,none
शाम को में चचा के इसी बयान को याद कर रहा था 😆,none
"आज का बादल देख कर ख़ुशी हो रही,मोदीजी कुछ अच्छा जरूर करेंगे।

@Shehla_Rashid",none
RT @AndColorPockeT: दिग्विजय ने खुद अपना वोट नही डाला और ये बाकियों से उसके लिए वोट डालने की अपील कर रही। https://t.co/TKoP4fww7J,none
"RT @upadhyay51: साड़ी पहनने की अंतिम तिथि 19 मई शाम छह बजे है उसके बाद इधर से साड़ी डालो उधर से जीन्स निकलेगी 😂😂
@priyankagandhi",offensive
RT @Mj0359: चमचो को समझ आने लगा है। #Haryanavotefornation  #jhajjar https://t.co/noHoTDi7VN,hateful
RT @ajitanjum: इंडिया टुडे पर तुरंत देशद्रोह का मुकदमा दर्ज होना चाहिए .ऐसी  कवर स्टोरी कोई पाकिस्तानी ही छाप सकता है कि करोड़ से ज्यादा नौ…,hateful
"RT @AdityadasSatlok: #दहेज_मुक्त_समाज का निर्माण संत रामपाल जी महाराज कर रहे है। अब तक 30,000 से अधिक दहेज, फिजूलखर्ची और आडंबर मुक्त विवाह…",none
ये पप्पू क्या खानदानी पप्पू है क्या?,none
"RT @atulkanakk: लोग भी यों ही बात का बतंगड़ बना देते हैं/
अब कोई मूँगफली बेचने के लिए तो राजनीति में नहीं आता ना!
🤣 https://t.co/yLTAb7y8Jv",none
@sambit_swaraj1 भैया इसके कहने का मतलब है कि 23 को चार लोगों की जरूरत है कांग्रेस को कंधा देने के लिए,none
"RT @Activelado: जरा सी बात करनी बंद क्या की
पुराने दोस्तों ने धीरे-धीरे साथ छोड़ दिया
ऐसा लगता है, जैसे....
मेरे बात बंद करने का ही इंतज़ार…",none
"RT @dev_kundan: @yadavtejashwi @laluprasadrjd कितना भी कुछ कर लीजिए बिहार की जनता अब पहले वाली नही है , 7 सीट से ज्यादा नही आने वाली है ,…",none
"RT @AsaramBapuJi: मनुष्य जो कर्म करता है उसके प्रेरक-बल के रूप में उसकी इच्छाएँ, वासनाएँ होती हैं। यदि मनुष्य जन्म में उसे सही सीख मिल जाय,…",none
"RT @ParthSonara4: गुजरात के गांवो में दलितों की शादी ओ में जातिवादी अत्याचार। 
#DalitLivesMatter",none
"@PoonamS18957721 ओर उस से भगवान ने कह रखा हो कि मै उसको भेजूंगा,  तो,🤗🤔😊",none
"@ZeeNewsHindi  रावण और उसकी भीम सेना का नकाब उतर गया ये सिर्फ भारत में जातिवाद का जहर घोलने वाले है इनको मतलब नहीं दलित बेटियों की ईज्जत सरेआम विडियो बनाकर लूटी जाती है तो लूटी जाऐ इन्होने चूं तक नहीं की ।
सरकार और दूसरी जातियों पर लांछण जितने मर्जी लगवा लो देश में फूट डलवा लो बस",hateful
"RT @The_Hina1: “बद-क़िस्मत है वह इंसान जो अपने गुनाह इस मुबारक महीने में न माफ़ करा पाए।”
“रोज़े की भूख और प्यास के द्वारा क़यामत की भूख और…",offensive
RT @shuklapinku: porn gresi के दामाद आतंकी अजर मसूद अब आंतर राष्ट्रिय आतंकी  .... इसका श्रेय नेहरू जी को जाता है !! 😀,none
"RT @manakgupta: पाकिस्तान ने घुसपैठ बंद की, आतंकी लॉंच-पैड ख़ाली किए...फ़ाइअरिंग रोकने का ऑफ़र किया. घुटनों पर आ गया है आतंकिस्तान 👍 https:…",none
हमने अपना काम किया अब आप भदोही जिला का विकास करिए।,none
"न डराओ मुझे माँ कह कर

मै एक माँ हूँ| तुम मुझे अपनी पूज्य मानते हो- ऐसा तुम कहते फिरते हो| किन्तु यथार्थ की वेदी पर इसमें मुझे कोई शंका नहीं किन्तु पूर्ण विश्वास है कि इसमें अब सत्य का सत्व खत्म हो गया है|... https://t.co/LkCOejDfce",none
"RT @AshishSainram: हमने तो सुना था कि..

“चर्च के पादरी और नन सेवा करते हैं”

पर यहाँ तो “पूरा” वेतन ले कर भी टैक्स नहीं भरते

अगर सब ईश्वर…",none
"Wo jo sabki surat pe haste hai
Unhe tohfe me aaina dijiye 
#Sntosvd",none
"#पुरे देश का एक ही नारा 
           नरेंद्र मोदी चाहिए दोबारा 
#DeshKeDilMeiModi 
#VotingRound6 
#हरियाणा 
@TrehanNeeti",none
"RT @mrjitunpanda: जिनका अंडरवियर हरेक अमेरिकी एयरपोर्ट पर उतरता हो,
वो दूसरों के अंडरवियर का कलर नहीं बताते",offensive
"सफ़र है, सफ़र में सबर रख के चल,
कहाँ है तू इसकी ख़बर रख के चल,
#SauBaatKiEkBaat कही ‘बेचैन’ ने
जो कहना है तुझको वो कह के ही उठ,
न दिल में ज़रा भी कसर रख के चल।",none
"RT @Randhirkush: #WednesdayMotivation
वेद बोलने वाला ब्रह्म कह रहा है वह स्वयं सतपुरुष कबीर हैं जो कबीर वाणीओं द्वारा निर्मल ज्ञान अपने हंस…",none
RT @JhaManyu1984: 84 के दंगे मे सिख मरते गए बेटियों का बलात्कार होता रहा गुरुद्वारे जलता रहे पर कुछ सीख बेशर्म सिख पापी काँग्रेस को वोट दे…,hateful
@sambitswaraj मतलब कांग्रेस को वोट दे दिया,none
@RubikaLiyaquat शर्म आनी चाहिए प्रियंका को,none
"RT @Diyasin32915347: #BlackSpotOnJudiciary 
हरियाणा कि सरकार ने बहुत बड़ा घुन्हा किया है एक निर्दोष संत को उम्रकैद की सजा सुना कर जिस दिन ह…",hateful
"क्या आप अपने खाली समय में घर या दूकान या ऑफिस या कॉलेज से बैठे बैठे हर महीने कुछ एक्स्ट्रा कमाना चाहते हैं? क्या आप दैनिक जीवन के सामान खरीद पर ढेर बचाना चाहते हैं?

 यहाँ से डाउनलोड करें और मेरे रेफरल कोड VTO6V का उपयोग करें - https://t.co/9E5JGRUA9j",none
"RT @piyushtrips: सिर्फ पांच वर्षो में हुई इन उपलब्धियों ने कांग्रेस समेत सारे विपक्ष की नींद हराम कर रखी है |
#NamoAgain

#DeshKeDilMeiModi…",none
@AliSohrab007 @SultanAliqazi गलत जानकारी. बिहार में कुर्मी आबादी 11%से थोड़ा ज्यादा है ।,none
"RT @AsaramBapuJi: भगवान की जिम्मेदारी है पर आप विश्वास नहीं करते-पूज्य बापूजी
जो अत्यंत जरूरी है वह कर डालो और जो बिनजरूरी है,थोड़ा जरूरी…",none
"RT @BJP4India: देखिये: 'जो मोदी जी को बुरा बोल रहा है, वो है बुरा'...कह रहा है बिहार का युवा। #JitegaModiJitegaBharat https://t.co/akHScipV…",none
"RT @ModiLeDubega: आतंकवादी प्रज्ञा ठाकुर BJP के टिकट पर चुनाव लड़ सकती है जबकि वह बम धमाके में जेल जा चुकी

लेकिन BSFजवान तेज बहादुर घटिया…",offensive
@anuragspparty @BrajeshYadavSP @yadavakhilesh @ndtv @Mayawati @RahulGandhi गरीबों का सुनने वाला कोई भी नहीं है ।हर कोई बस अमीरो की बात करता है।,none
"@ved175 @Rituchandel04 Sant Shri Asaram Bapu Ji ने बताया की बचपन में मीराबाई ने माँ से अपने पति के बारे में पूछा तब माँ ने यह बताया कि 'तेरा पति तो गिरधर गोपाल है।' तब से यही उसके जीवन का मूलमंत्र बन गया।
#HappyMothersDay",none
"RT @I_am_Anil_Tyagi: अब तो बच्चे भी कहने लगे कि चौकीदार चोर है😊
पूरा वीडियो आपने भी नहीं डाला जिसमे @priyankagandhi इन बच्चो को मना कर रही…",offensive
"RT @I_am_Anil_Tyagi: मुझे हराने वाला कोई पैदा नहीं हुआ---निरहुआ😊
निरहुआ बोलते गए और फँसते गए;भरपूर मनोरंजन के लिए देखें यह पूरा वीडियो। 
इत…",offensive
RT @AshrafFem: मैं मुसलमान हूँ और मैं शपथ लेता हूँ कि कट्टरवादी चाहे मुझे कितनी भी गालियां दे या मेरे धर्म को निशाना बनाये मगर मैं कभी भी…,none
@ArvindKejriwal अरविंद जी अगर भारतीय जनता पार्टी जीती तो उसके जिम्मेदार सिर्फ और सिर्फ आप होंगे क्योंकि आप पूरे देश में तो क्या दिल्ली के संगठन को ही जोड़ कर नहीं रख सके हमें खेद है हम आप को प्रधानमंत्री देखना चाहते थे और आप,none
"RT @SunildasBohane: #वेद_मेरा_भेद_है
इस पूरी पृथ्वी पर एक ही संत  है जो हमें  शास्त्रों और वेदों के अनुसार भक्ति करवा रहे हैं वह सिर्फ संत…",none
RT @Jitendr54356112: देश का सामान्य नागरिक ऐसी गलती कर देता तो उसे भी ऐसे ही माफ करते । सामान्य नागरिक को निम्न कोर्ट भी माफ नहीं करता । स…,none
"RT @VIKASHK98936087: @RahulGandhi कोने में बैठ कर चार अंधभक्त रो रहे थे,,,

मैंने पूछा क्या हुआ  ?

तो बोले

23 मई की तैयारी कर रहे हैं😂🤣😂…",none
"RT @RakeshKP1978: @RabriDeviRJD @laluprasadrjd का हो चाची सब कइलू, जब कुछ ना भेटाइल त अब इमोसनल कार्ड खेलत बाड़ू।एक बात कहीं।
एहू से कुछ न…",none
RT @manakgupta: मोदी जी कह रहे हैं कांग्रेस नेता उनकी हत्या कराने के सपने देख रहे हैं. अब ज़्यादा हो रहा है PM जी 🤭,none
"RT @AvantikaDs: पाकिस्तानी लेखक ने  बिल्कुल सही लिखा..
मोदी ने देशभक्त और देशद्रोहियों के बीच विभाजन कर दिया है..!!",none
@ArvindKejriwal Pehle jaake EC response sun lijiye fir bakiye @ArvindKejriwal,none
RT @YudhishthirSah6: @YuvrajP70879924 @Aryavrta गर्म पानी से स्नान नहीं करना चाहिए गर्म पानी सिर पर कभी  नहीं डालना चाहिए  उबटन से स्नान कर…,none
RT @SheilaDikshit: तुम तो सब को लाजवाब कर देते हो https://t.co/wGZ188xIXs,none
"RT @TejBahudur: सेना के सिपाहियों का ये हाल होता है, आज से नही कई सरकारों से, लेकिन अगर कोई हिम्मत करके सिपाही इसके खिलाफ बोल दे तो देशद्रो…",none
"@ArunNayyer2 @ZeeNewsHindi @IndiaToday @aajtak @TimesNow @abpnewstv कब तक चलेगी ये मनमानी मोदी की 
Bjp भगाओ देश बचाओ",none
"RT @AchAnkurArya: सीधे काबा में खडे होकर अल्ला से सीधे मोदी के खात्मे की यह दुआ बताती है कि मोदी को हटाना मुसलमानों के वश की बात नही, शायद…",hateful
"@AlkaMehta19 नजरों को तेरे प्यार से इंकार नहीं है,
अब मुझे किसी और का इंतज़ार नहीं है,
खामोश अगर हूँ मैं तो ये वजूद है मेरा
तुम ये न समझना कि तुमसे प्यार नहीं है। https://t.co/6t78HusAIY",none
RT @JEMMasoodAzhar: मैं #MasoodAzhar पूरे मुस्लिम आवाम को संदेश देना चाहता हु और ये कहना चाहता हु की मुझे Global terrorist घोषित करने के पी…,offensive
संजय दत्‍त बच्‍चे की तरह हैं: अर्जुन कपूर https://t.co/RSZ6j80XUQ,none
RT @sudhirchaudhary: बनारस में कुल्हड़ की चाय और कचौड़ी के बिना दिन अधूरा रहेगा।@vishalpandeyk के साथ सड़क किनारे चाय पर चर्चा। https://t.c…,none
"@ppbajpai क्या ज़माना आ गया भई!हद कर दी आप ने.. हर न्यूज़ वाले ने धक्का मार कर बाहर कर दिया और अब फ़ेसबुक अड्डा जमा दिया..लगता है अब ""जुकरबर्ग"" बैन लगयेगा तभी कुछ समझ आएगा।",none
"एक तन्हा रात में तुम्हारी याद आ गयी,
याद भुलाने के लिए हमने एक शमां जला दी,
क्या कायनात दिखा दी उस शमां ने हमको,
उसके उठते धुएं ने तुम्हारी तस्वीर ही बना दी…",none
@Rammehar00 @bunty_ki_babli @babli_ka_bunty 😂😂😂😂😂  जलने की बदबू आने लगी है,none
"RT @JoinDesi: 5 घन्टो का मेकअप....
10000 का पार्लरका खर्चा

और... भोसडीके ने...
2 मिनिट मे पुरा पॅकेज खोल कर रख दिया.😂😂😂 👇👇👇👇 

(आज का सवाल…",profanity
"RT @rishibagree: ऐसा पहली बार हो रहा है कि आज़मगढ़ की 140 बूथों पर बूथ कैप्चरिंग नहीं हो पा रही है।
अखिलेश यादव जब ये कहते पाए गए कि आज़मग…",none
RT @DesiStupides: चुनाव आयोग का नाम सुना है ? उसका एक नियम है वोटिंग से 48 घंटे पहले पोलिंग बूथ के पास किसी पार्टी का पोस्टर नहीं लगा होना…,none
@umashankarsingh अब आप बाहर निकल सकते हो कोई नहीं देख पाएगा...,none
RT @halima7620: uff dil to karta hai pore twitter ko moj karwa du per kiya karu log ratween kam karte hain warna har ghar me ja kar free me…,none
"यह चेहरा कह रहा कि इनकी लुटिया भी राहुल डुबो चुका!
#आयेगा_तो_मोदी_ही",offensive
